mismatch_id,source_id,file_hash,field_path,mapping_version,formula_version,status,evidence_ref
MM-S06P3-e2e6207968557e31,SRC-s06p3-zero-delta-9dc14c42,sha256:95648c2dfc62c18f463a41c5d82904d1e14b8b21e9deaa73a1ae0b8700a0f9bd,field_ref:sha256:579fa7a11ff2b58292f1cfadd45b2cb1b0b35ec93713ca252c7077a5afb6f572,MAP-SRC-s06p3-zero-delta-9dc14c42-v0.1.0,FORM-KMFA-S06P3-VALIDATION-EVIDENCE-v0.1.0,zero_delta_failed,KMFA/stage_artifacts/S06_P1_zero_delta_validator/machine/s06_p1_synthetic_mismatch_report.csv
MM-S06P3-fd61a3bace4fcc2f,SRC-s06p3-zero-delta-8628f739,sha256:b7105bd873cde197a30deac5f976c13e3f4bd3abe93705d6cb6d07eea4c6d963,field_ref:sha256:579fa7a11ff2b58292f1cfadd45b2cb1b0b35ec93713ca252c7077a5afb6f572,MAP-SRC-s06p3-zero-delta-8628f739-v0.1.0,FORM-KMFA-S06P3-VALIDATION-EVIDENCE-v0.1.0,zero_delta_failed,KMFA/stage_artifacts/V013_S06_P1_ZERO_DELTA_REPLAY/machine/zero_delta_mismatch_report.csv
MM-S06P3-4483ca6f7118bfed,SRC-s06p3-zero-delta-8628f739,sha256:9e370c562371b8a1172c1a62a2bdada1fb41df02ff956b43dc6c7fb527f5d22f,field_ref:sha256:579fa7a11ff2b58292f1cfadd45b2cb1b0b35ec93713ca252c7077a5afb6f572,MAP-SRC-s06p3-zero-delta-8628f739-v0.1.0,FORM-KMFA-S06P3-VALIDATION-EVIDENCE-v0.1.0,zero_delta_failed,KMFA/stage_artifacts/V014_S06_P1_ZERO_DELTA_VALIDATOR/machine/mismatch_report.csv
