项目,文件名,日期,原文件名,大小,描述,置信度,时长秒,分辨率,帧率,有无音轨,重复于,可用起点秒,可用终点秒,功能位,画质等级,画面元素,镜头特征,工序阶段,脱敏风险,缩略图路径,标注执行者,标注日期,复核状态
化工群,化工_现场施工_260708_002.jpg,260708,0646300721ace1bf31f553af97b49f48.jpg,977249,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260622_002.jpg,260622,065f6263cc8c2d90aa2f024247aac003.jpg,393472,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260724_001.jpg,260724,069efad3715f63a196e009c1fd736963.jpg,584219,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260610_001.jpg,260610,06a036ec3c2b8cadd9019fdc262387b4.jpg,309639,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260612_001.jpg,260612,07053d073870d1c427a6d9bf2afe0b93.jpg,470772,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱6号_260628_001.jpg,260628,070c23eb53246e7ffa23876dc9e5b2da.jpg,484145,纯碱6号,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260716_002.jpg,260716,08042b2dbe81c75092823200591b29ce.jpg,1500617,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱新增6789检查井_260726_001.jpg,260726,0836fa8e658af3e0dbf606193efdfb34.jpg,362771,纯碱新增6789检查井,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260617_001.jpg,260617,087aacc24c4a92bb3fa20868170f5d23.jpg,518876,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260601_001.jpg,260601,088ae4b107bb3fa5f08609134862f3c9.jpg,486713,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260618_001.jpg,260618,09306fe545af21e47d3149356582ff06.jpg,334949,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
